feature,importance
time_of_day_cos,0.8798644040240781
lag_24,0.03809962241132017
roll_max_6,0.02282039285057233
lag_1,0.009575228697361007
slope_12,0.009159477712723525
roll_mean_24,0.009097431658649348
roll_std_24,0.007453707848483338
roll_mean_6,0.005123431796704091
roll_mean_12,0.004083769396031174
time_of_day_sin,0.0035896160675992156
minute,0.002484123034604592
roll_max_12,0.0019540078801646103
hour,0.0017785238562756198
lag_21,0.0003227829356996601
lag_23,0.00027598917445865925
lag_22,0.0002718308208279429
lag_20,0.00025249219016575965
lag_19,0.00024903303447823734
lag_16,0.00018606427663508688
roll_max_24,0.00016347018600401585
roll_min_6,0.00015877855109828383
lag_17,0.00015587459961330206
lag_18,0.00015350093314482112
lag_13,0.00015130498234226707
lag_4,0.00014729994316439716
lag_9,0.000146926920768289
lag_3,0.0001422675511615895
lag_7,0.00013992238852250102
lag_5,0.0001344961760295265
lag_15,0.00012860564818402705
lag_14,0.0001268268466948966
lag_12,0.00012563653204924864
lag_8,0.00012455183690625275
lag_11,0.00012304423524568057
roll_min_24,0.00012161514600055626
lag_2,0.00012093549075255038
lag_10,0.00011562456215406389
velocity_6,0.00011106845432137535
slope_6,0.00010943679075748475
roll_min_12,0.00010501809410304914
velocity_2,0.00010192706768747353
lag_6,9.812095386417585e-05
roll_std_12,9.260411604804365e-05
roll_std_6,7.484090501555049e-05
acceleration,7.454725696388855e-05
velocity_1,7.429531315600377e-05
day_of_week,3.203901423555265e-05
is_weekend,3.489837178634379e-06
